fovID,fovPosX,fovPosY
467,2516.2,-2300.8
468,2716.2,-2300.8
469,2716.2,-2500.8
470,2716.2,-2700.8
471,2716.2,-2900.7
472,2716.2,-3100.7
473,2716.2,-3300.8
474,2716.2,-3500.8
475,2716.2,-3700.8
476,2716.2,-3900.7
477,2916.2,-3900.7
478,2916.2,-3700.8
479,2916.2,-3500.8
480,2916.2,-3300.8
481,2916.2,-3100.7
482,2916.2,-2900.7
483,2916.2,-2700.8
484,2916.2,-2500.8
485,2916.2,-2300.8
